system:index,CD_GEOCMU,NM_MUNICIP,sum,.geo
00005adcca89b6b64886,3300936,CARAPEBUS,3.0808223697193617E8,
0000372e243ceca24821,3302403,MACAÉ,1.2168684213304534E9,
00001f3d5eca80738a27,3301405,CONCEIÇÃO DE MACABU,3.471925473287378E8,
0000aa3a8ebc22926aa2,3304524,RIO DAS OSTRAS,2.289844719112132E8,
000078b9524c375bc48e,3300233,ARMAÇÃO DOS BÚZIOS,7.023335026151961E7,
000073860387fb9737a5,3300704,CABO FRIO,4.103600092554532E8,
00008c945e114f8c6010,3305208,SÃO PEDRO DA ALDEIA,3.32743925632108E8,
00006a0461fde320d39f,3300209,ARARUAMA,6.380331094102327E8,
0000742fefc7dccef1d3,3301876,IGUABA GRANDE,5.1937145210171565E7,
000039e0baa93451009d,3300258,ARRAIAL DO CABO,1.589252136141544E8,
0000bdf5cc4be53357ab,3305505,SAQUAREMA,3.5282114297101694E8,
00005bef348731458fec,3304300,RIO BONITO,4.58622583012561E8,
0000192aa11041fd5507,3305604,SILVA JARDIM,9.374763759805762E8,
00002bcac8277457ed36,3303401,NOVA FRIBURGO,9.332624011300863E8,
0000c53d638ef239846d,3300803,CACHOEIRAS DE MACACU,9.537573478186282E8,
0000bc44353288200475,3301306,CASIMIRO DE ABREU,4.607688740358458E8,
0000a50cb9debd817593,3305901,TRAJANO DE MORAES,5.897531427534318E8,
0000ed6835315fe168b1,3300506,BOM JARDIM,3.846626809181986E8,
0000a5870781bacfce2d,3302452,MACUCO,7.76812776324142E7,
000032144ca30a735571,3301504,CORDEIRO,1.1636052570735292E8,
000072e63d971668db5d,3301108,CANTAGALO,7.49206626952512E8,
000088ef9a0592863730,3301603,DUAS BARRAS,3.7509877225992656E8,
0000b4cddde871db449d,3301207,CARMO,3.2472258157922786E8,
000067292cdb7e0d3229,3305703,SUMIDOURO,3.95485009998223E8,
00004cfb1995e476a095,3305406,SAPUCAIA,5.407370798318627E8,
00004e68724391e30bde,3101508,ALÉM PARAÍBA,5.10249395880699E8,
00004ed5b3981a3ccfc2,3305158,SÃO JOSÉ DO VALE DO RIO PRETO,2.2016766446844372E8,
00007a4d4027bbc67bb2,3305802,TERESÓPOLIS,7.705194189914212E8,
0000ef576607068b1588,3306008,TRÊS RIOS,3.2467642714620113E8,
0000bcc409db7bfe9c3d,3303906,PETRÓPOLIS,7.930398787921574E8,
0000cab7c2c387081b06,3300225,AREAL,1.1090450506329656E8,
00004a8142f85c811b97,3303708,PARAÍBA DO SUL,5.716756886258578E8,
0000ae9b302200f449bd,3116209,CHIADOR,2.5280248564877462E8,
0000e34c330eefe6442a,3300951,COMENDADOR LEVY GASPARIAN,1.0687086138621326E8,
00009e75b8f78216ef9f,3158607,SANTANA DO DESERTO,1.8259150275888485E8,
000031eeb5b1c846258b,3139805,MAR DE ESPANHA,3.7163378216519636E8,
000013552f655ada3050,3165602,SENADOR CORTES,9.826546569883575E7,
00000dd83bf4c8e46667,3128501,GUARARÁ,8.86369200021446E7,
000088d54dcccd88fa77,3106903,BICAS,1.4002537559123778E8,
00009025b1e65a6c9dbb,3149507,PEQUERI,9.081415202162987E7,
00004d8e7400702215c8,3136702,JUIZ DE FORA,1.4356770525882375E9,
00001ab43c5da89ea495,3115904,CHÁCARA,1.5280430402843133E8,
00008f8744cdbc545ba9,3140803,MATIAS BARBOSA,1.5706727170312494E8,
00006fb7db0f48ac4b7a,3167509,SIMÃO PEREIRA,1.3565628381556377E8,
0000f7bebff06cc9dad2,3106101,BELMIRO BRAGA,3.9302770190404415E8,
000080d6dde1fe8b8509,3125002,EWBANK DA CÂMARA,1.037849779806985E8,
000065e9c4e16cc5615a,3160702,SANTOS DUMONT,6.373019992952207E8,
00009e0c7db477dfbd4d,3106804,BIAS FORTES,2.834277025389092E8,
00001af825460c20ffa4,3102902,ANTÔNIO CARLOS,5.298075860948526E8,
00002c2a9bd9c5127ec2,3149408,PEDRO TEIXEIRA,1.1296403868210782E8,
00008bd13843b6e9c1b9,3138609,LIMA DUARTE,8.484397582833953E8,
00001f6ad4b547545511,3157278,SANTA BÁRBARA DO MONTE VERDE,4.178467931221813E8,
0000ea5366b977339227,3304508,RIO DAS FLORES,4.7847672109564924E8,
0000c9e871c4f072c071,3155900,RIO PRETO,3.4801760943596786E8,
00000b569e4f6c9d776f,3306107,VALENÇA,1.3047527799802673E9,
0000c4105d67d8400347,3306206,VASSOURAS,5.3663889685986507E8,
000042724d8d0fd95f7b,3303856,PATY DO ALFERES,3.137090713609681E8,
0000cfbc6b0ea5377d7e,3302908,MIGUEL PEREIRA,2.8913124972518396E8,
0000cbe532f86897a625,3301702,DUQUE DE CAXIAS,4.675197902360296E8,
00001640f12cc1279d0d,3302502,MAGÉ,3.939549270555759E8,
0000c75937f056e62bf5,3303500,NOVA IGUAÇU,5.179871286262261E8,
0000ea98eaceeeca73b2,3300308,BARRA DO PIRAÍ,5.788442399423401E8,
00007d4b820807e4fb8a,3302809,MENDES,9.729341336047791E7,
00009f3e83ba0bf7574e,3301801,ENGENHEIRO PAULO DE FRONTIN,1.3889528167064953E8,
0000c6b112de217baa4f,3304144,QUEIMADOS,7.566989987542893E7,
00007c47811ec571e979,3302270,JAPERI,8.184092196825987E7,
000002978efe7f2e29fe,3305554,SEROPÉDICA,2.837675165188112E8,
0000b4e41704bfc7f211,3303609,PARACAMBI,1.910161956435048E8,
000085a87559694b4e08,3304003,PIRAÍ,5.0536434001158077E8,
00003debebe8401b6706,3302007,ITAGUAÍ,2.7433968214901984E8,
000058b75246016be47e,3304557,RIO DE JANEIRO,1.199306884649999E9,
0000ee49091a9324646a,3302858,MESQUITA,4.146386207303923E7,
0000ed88d6f47a297c2f,3303203,NILÓPOLIS,1.938592416636029E7,
00002d65db3e244eba14,3305109,SÃO JOÃO DE MERITI,3.5208677633823544E7,
00006c753ae570d4d792,3300456,BELFORD ROXO,7.895909773143384E7,
00002dbf6cd06f1b145d,3303302,NITERÓI,1.3383182855968133E8,
0000d0bbe132278ce822,3304904,SÃO GONÇALO,2.476489470567403E8,
0000f768d69e96a3676d,3302700,MARICÁ,3.624686010819241E8,
0000c553f33f38b3a0e3,3301900,ITABORAÍ,4.303353481365808E8,
000015783de218cfb141,3301850,GUAPIMIRIM,3.579108239844363E8,
00008c9a6a9a2126fc0b,3305752,TANGUÁ,1.454279012852941E8,
0000110fed173a4b264b,3304409,RIO CLARO,8.346532091840682E8,
00008c261ff07c7ff331,3302601,MANGARATIBA,3.5877174547830814E8,
00001361b2a96060d20d,3300407,BARRA MANSA,5.470808620574142E8,
000094302d91f583589e,3504909,BANANAL,6.163199872618872E8,
0000d269470576d5aa45,3304201,RESENDE,1.094721625410968E9,
0000288fdbc34be0d272,3503158,ARAPEÍ,1.568855684481617E8,
0000ae7e8ac0295c6ebc,3300100,ANGRA DOS REIS,8.247174125488973E8,
0000b37a2164a79838df,3303807,PARATY,9.251565648192413E8,
0000907b52b4e5d6ea20,3555406,UBATUBA,7.078463087761031E8,
0000b5f14d7bacef3f27,3513603,CUNHA,1.4072658223902586E9,
0000c845eb062e459efc,3527207,LORENA,4.1409157738143367E8,
0000a108a871d1c47f81,3552007,SILVEIRAS,4.1471977937616456E8,
0000a08e8e745083200e,3508603,CACHOEIRA PAULISTA,2.879331275062501E8,
000039f1ee462b8dcf7c,3509957,CANAS,5.3244563796078436E7,
00006c018623e34046a9,3513405,CRUZEIRO,3.056702091982845E8,
000094bbda1e0a164bcc,3503505,AREIAS,3.051465337343751E8,
00004958a21399fcdfb7,3549607,SÃO JOSÉ DO BARREIRO,5.706199754822303E8,
000035f806463754e875,3302254,ITATIAIA,2.4516535093566167E8,
0000921614543e55c7c1,3541901,QUELUZ,2.493259885641544E8,
00002d44e52dfc4ab021,3147600,PASSA QUATRO,2.771527458726717E8,
0000d9222295f255ff29,3133105,ITANHANDU,1.4330840352745095E8,
00006213ea0178717490,3526605,LAVRINHAS,1.6704261768627453E8,
00003b271c750f790fb1,3164902,SÃO SEBASTIÃO DO RIO VERDE,9.078721848817407E7,
00009bfceefdf3867e1d,3152600,POUSO ALTO,2.6301537591286764E8,
0000e12aa3a919daef0d,3133006,ITAMONTE,4.31791259855086E8,
00005f98283250e0dbae,3104908,BAEPENDI,7.5051091119038E8,
0000eaafb6f4031557a5,3101300,ALAGOA,1.6133481863866416E8,
00007099e5a05e6c9a8a,3115508,CAXAMBU,1.0042403765863965E8,
00001659b2460049f698,3163706,SÃO LOURENÇO,5.798896068419116E7,
00002bdadea450884daa,3167806,SOLEDADE DE MINAS,1.9690264808860308E8,
00005e75f1b1e102bbf6,3117702,CONCEIÇÃO DO RIO VERDE,3.696182478181371E8,
0000942ef999e7281b02,3165206,SÃO THOMÉ DAS LETRAS,3.69769663097549E8,
0000a31279cb89195dcd,3120805,CRUZÍLIA,5.222776853931984E8,
0000f448675970a6a0d6,3101201,AIURUOCA,6.49621242536336E8,
00008d2bc50f578ddf8c,3107208,BOCAINA DE MINAS,5.036518752370097E8,
0000530dc081b69784da,3114808,CARVALHOS,2.8216801460839474E8,
0000c20c4195dcb321d7,3167004,SERRANOS,2.1321466100618887E8,
0000d48001865b5854de,3166402,SERITINGA,1.1478274418590683E8,
00009f86009159005dba,3138500,LIBERDADE,4.0129646829319847E8,
0000c6bb2bb8c7bb8903,3304110,PORTO REAL,5.073726538615196E7,
000004d7999c0ec9e09a,3304128,QUATIS,2.8610290028167886E8,
000057398db98d1e4fec,3306305,VOLTA REDONDA,1.824415515692402E8,
