system:index,CD_GEOCMU,NM_MUNICIP,mean,.geo
0000eb90f35a32a549b8,3300936,CARAPEBUS,2.0,
00009632ccb2606744f2,3302403,MACAÉ,1.9974666045106013,
0000278d4c72c837ee1e,3301405,CONCEIÇÃO DE MACABU,2.0,
00002dc34d7d89b51b7e,3304524,RIO DAS OSTRAS,2.0324123091635644,
0000ee179ada76d6327e,3300233,ARMAÇÃO DOS BÚZIOS,2.991296099983262,
000046dfcf2aba2d631b,3300704,CABO FRIO,2.998397649886499,
00006c524fa41cf6e1aa,3305208,SÃO PEDRO DA ALDEIA,3.0,
00002f2c549876b62ae0,3300209,ARARUAMA,3.0,
0000d8b2b130ce59f65a,3301876,IGUABA GRANDE,3.0,
0000cf2f96c1a0be4f66,3300258,ARRAIAL DO CABO,2.8866408733581403,
0000d5e5f2901dfc1282,3305505,SAQUAREMA,3.0,
00009e99e77a6e4adb56,3304300,RIO BONITO,3.0,
00008be441bad794b06b,3305604,SILVA JARDIM,2.9998831644085437,
00006797d4b2a99a02df,3303401,NOVA FRIBURGO,2.555416282384506,
00001fcbf7b08806e068,3300803,CACHOEIRAS DE MACACU,3.0,
0000dcf29f06761bd7b7,3301306,CASIMIRO DE ABREU,2.6775571196902663,
0000ce8e45793a45c6af,3305901,TRAJANO DE MORAES,2.0,
00009b851b4b34d54b61,3300506,BOM JARDIM,2.0,
0000b9b71003a36688f9,3302452,MACUCO,2.0,
0000d774efa884cf1dd1,3301504,CORDEIRO,2.0,
000024d43c64ba72c8db,3301108,CANTAGALO,2.0,
000077365378a790656d,3301603,DUAS BARRAS,2.0,
0000d32e19075f87ab02,3301207,CARMO,2.0,
000071b9b117ad0534d0,3305703,SUMIDOURO,2.0812034236691774,
0000f8031021f8effb92,3305406,SAPUCAIA,2.4518940106162974,
0000dd353eea0aedb3b6,3101508,ALÉM PARAÍBA,2.111704900938476,
0000efa06751e10a56be,3305158,SÃO JOSÉ DO VALE DO RIO PRETO,2.9698300384013674,
00002777369570e0f1e8,3305802,TERESÓPOLIS,2.9833772511030214,
0000c31eb47d36dd0d9a,3306008,TRÊS RIOS,3.0,
000021929d9d1d7fc9f7,3303906,PETRÓPOLIS,3.0,
00007bd2248df4ab7be5,3300225,AREAL,3.0,
0000d416ce651c8413b1,3303708,PARAÍBA DO SUL,3.0,
00005d18acbaf3318732,3116209,CHIADOR,2.999876273991247,
0000178ebabf77fc3253,3300951,COMENDADOR LEVY GASPARIAN,3.0,
0000f0e48d2e04f998e0,3158607,SANTANA DO DESERTO,3.0,
000008362507a6157083,3139805,MAR DE ESPANHA,3.0,
000015199aaef073e756,3165602,SENADOR CORTES,2.5742184392649747,
0000b84cc574f0c0c186,3128501,GUARARÁ,3.0,
0000702c2dc85607d258,3106903,BICAS,3.0,
0000ddea0cf9c836a75a,3149507,PEQUERI,3.0,
0000a620a4fc1c5827ce,3136702,JUIZ DE FORA,3.0,
00008e20a1f2800e3f3b,3115904,CHÁCARA,3.0,
00008130b985860d980b,3140803,MATIAS BARBOSA,3.0,
0000571a3bc71fd0f4aa,3167509,SIMÃO PEREIRA,3.0,
0000d3e085e1cfffb394,3106101,BELMIRO BRAGA,3.0,
00005e27681cc9614709,3125002,EWBANK DA CÂMARA,3.0,
00007434245d9bb57378,3160702,SANTOS DUMONT,3.0,
00003facb71088dc64dd,3106804,BIAS FORTES,3.0,
0000aeb1d76e91ad0fce,3102902,ANTÔNIO CARLOS,3.0,
0000e2badc743dcd573d,3149408,PEDRO TEIXEIRA,3.0,
00004adc015bea596f61,3138609,LIMA DUARTE,3.0,
0000e1832943b59959ce,3157278,SANTA BÁRBARA DO MONTE VERDE,3.0,
000057989f6823f8d981,3304508,RIO DAS FLORES,3.0,
00009e638d4e2bc22063,3155900,RIO PRETO,3.0,
00000c42a479bd319d2f,3306107,VALENÇA,3.0,
00005885c9101a4c3f01,3306206,VASSOURAS,3.0,
000015067eb2fbd7ff16,3303856,PATY DO ALFERES,3.0,
000025b703db12241073,3302908,MIGUEL PEREIRA,3.0,
0000846effcf61532148,3301702,DUQUE DE CAXIAS,2.9978913721979095,
0000af11e41c35af9b79,3302502,MAGÉ,2.996694428175781,
