record,mosquito_species,refeeding1_dpi,refeeding1_mosquitoes,refeeding2_dpi,refeeding2_mosquitoes,repetitions,minT,maxT,meanT,vertebrate
1,﻿Haemagogus capricornii,0,1,15,1,1,20,31,22.27232143,mouse
2,﻿Haemagogus capricornii,0,1,14,1,1,20,31,22.27232143,mouse
3,﻿Haemagogus capricornii,0,1,14,1,1,20,31,22.27232143,mouse
4,﻿Haemagogus capricornii,0,1,14,1,1,20,31,22.27232143,mouse
5,﻿Haemagogus capricornii,0,1,18,1,1,20,31,22.27232143,mouse
6,﻿Haemagogus capricornii,0,1,14,1,1,20,31,22.27232143,mouse
7,﻿Haemagogus capricornii,14,1,21,1,1,20,31,22.27232143,mouse
8,﻿Haemagogus capricornii,0,1,14,1,1,20,31,22.27232143,mouse
9,﻿Haemagogus capricornii,0,1,19,1,1,20,31,22.27232143,mouse
10,﻿Haemagogus capricornii,15,1,22,1,1,20,31,22.27232143,mouse
11,﻿Haemagogus capricornii,0,1,18,1,1,20,31,22.27232143,mouse
12,﻿Haemagogus capricornii,19,1,22,1,1,20,31,22.27232143,mouse
13,Haemagogus janthinomys,21,1,23,1,1,25,30,25.83333333,mouse
14,Haemagogus janthinomys,0,1,12,1,1,25,35,26.66666667,mouse
15,Haemagogus janthinomys,32,1,34,1,1,25,35,26.66666667,mouse
16,Haemagogus celeste,9,3,10,0,1,30,30,30,Aotus
17,Haemagogus celeste,14,3,15,0,1,30,30,30,Aotus
18,Haemagogus celeste,0,5,19,5,1,30,30,30,Aotus
19,Haemagogus celeste,0,5,19,5,1,30,30,30,Aotus
20,Haemagogus celeste,0,5,22,5,1,30,30,30,Aotus
22,Haemagogus celeste,0,4,18,4,1,30,30,30,Aotus
30,Haemagogus equinus,0,2,26.5,2,1,26,28,27,Callithrix
31,Haemagogus equinus,0,4,17,4,1,26,28,27,Callithrix
32,Haemagogus equinus,0,2,22,2,1,26,28,27,Callithrix
33,Haemagogus equinus,0,16,14,16,1,26,28,27,Callithrix
34,Haemagogus equinus,19,4,20,0,1,26,28,27,Callithrix
36,Haemagogus equinus,24,1,25,0,1,26,28,27,Callithrix
37,Haemagogus janthinomys,10,7,11,0,1,23.5,28,24.4,Saimiri
38,Haemagogus janthinomys,15,13,16,0,1,23.5,28,24.4,Saimiri
39,Haemagogus janthinomys,0,8,24,8,1,23.5,28,24.4,Saimiri
40,Haemagogus janthinomys,10,16,11,0,1,23.5,28,24.4,Saimiri
41,Haemagogus janthinomys,14,19,15,0,1,23.5,28,24.4,Saimiri
42,Haemagogus janthinomys,20,6,21,0,1,23.5,28,24.4,Saimiri
43,Haemagogus janthinomys,0,4,22,4,1,23.5,28,24.4,Saimiri
44,Haemagogus janthinomys,24,3,25,0,1,23.5,28,24.4,Saimiri
45,Haemagogus janthinomys,0,3,24,2,1,23.5,28,24.4,Saimiri
46,Haemagogus janthinomys,0,2,32,2,1,23.5,28,24.4,Saimiri
48,Haemagogus janthinomys,0,10,14,10,1,28,32,30,Saimiri
49,Haemagogus janthinomys,0,5,18,5,1,28,32,30,Saimiri
50,Haemagogus janthinomys,13,5,14,0,1,28,32,30,Saimiri
51,Haemagogus janthinomys,0,5,21,5,1,28,32,30,Saimiri
52,Haemagogus janthinomys,0,10,25,10,1,28,32,30,Saimiri
54,Haemagogus janthinomys,20,2,21,0,1,28,32,30,Saimiri
55,Haemagogus janthinomys,10,1,11,0,1,28,32,30,mouse
56,Haemagogus janthinomys,10,1,11,0,1,28,32,30,mouse
57,Haemagogus janthinomys,10,1,11,0,1,28,32,30,mouse
58,Haemagogus janthinomys,10,1,11,0,1,28,32,30,mouse
59,Haemagogus janthinomys,10,1,11,0,1,28,32,30,mouse
60,Haemagogus janthinomys,13,1,14,0,1,28,32,30,mouse
61,Haemagogus janthinomys,13,1,14,0,1,28,32,30,mouse
62,Haemagogus janthinomys,0,1,13,1,1,28,32,30,mouse
63,Haemagogus janthinomys,13,1,14,0,1,28,32,30,mouse
64,Haemagogus janthinomys,13,1,14,0,1,28,32,30,mouse
65,Haemagogus janthinomys,16,1,17,0,1,28,32,30,mouse
66,Haemagogus janthinomys,16,1,17,0,1,28,32,30,mouse
67,Haemagogus janthinomys,16,1,17,0,1,28,32,30,mouse
68,Haemagogus janthinomys,16,1,17,0,1,28,32,30,mouse
69,Haemagogus janthinomys,0,1,17,1,1,28,32,30,mouse
70,Haemagogus janthinomys,17,1,18,0,1,28,32,30,mouse
71,Haemagogus janthinomys,17,1,18,0,1,28,32,30,mouse
72,Haemagogus janthinomys,0,1,17,1,1,28,32,30,mouse
73,Haemagogus janthinomys,0,1,17,1,1,28,32,30,mouse
74,Haemagogus janthinomys,17,1,18,0,1,28,32,30,mouse
75,Haemagogus janthinomys,17,1,18,0,1,28,32,30,mouse
76,Haemagogus janthinomys,0,1,30,1,1,20,30,26,mouse
77,Haemagogus janthinomys,30,1,31,0,1,20,30,26,mouse
78,Haemagogus janthinomys,0,1,30,1,1,20,30,26,mouse
79,Haemagogus janthinomys,30,1,31,0,1,20,30,26,mouse
80,Haemagogus janthinomys,0,1,20,1,1,28,32,30,mouse
81,Haemagogus janthinomys,0,1,21,1,1,28,32,30,mouse
82,Haemagogus janthinomys,0,1,21,1,1,28,32,30,mouse
83,Haemagogus janthinomys,21,1,22,0,1,28,32,30,mouse
84,Haemagogus janthinomys,0,1,21,1,1,28,32,30,mouse
