Month,Year,MosquitoSpecies,TrappingMethod,Location,NumberOfMosquitoes,Rainfall,RainfallUnits,Source,SequenceNumber,OtherNotes
1,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,0,185.2272727,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
2,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,63,141.4772727,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
3,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,3,173.2954545,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
4,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,5,113.6363636,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
5,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,0,114.9621212,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
6,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,28,388.0681818,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
7,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,66,251.5151515,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
8,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,3,48.67424242,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
9,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,4,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
10,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,0,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
11,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,0,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
12,2004,Haemagogus leucocelaenus,Ovitraps,Dunes State Park ,0,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,1,rainfall extracted using Web plot digitizer on graphs
1,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,0,185.2272727,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
2,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,17,141.4772727,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
3,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,140,173.2954545,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
4,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,31,113.6363636,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
5,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,0,114.9621212,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
6,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,0,388.0681818,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
7,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,10,251.5151515,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
8,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,12,48.67424242,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
9,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,3,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
10,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,2,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
11,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,4,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
12,2004,Haemagogus leucocelaenus,Larvitraps,Dunes State Park ,2,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,2,rainfall extracted using Web plot digitizer on graphs
