"study_id","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","fulltext_filename","fulltext_exclude_reasons","Hg. janthinomys","Hg. Leucocelaenous","S. chloropterus","location format ","other Hg. or S.","height data "
409829,"not_duplicate","included","excluded","not_started","database","Scopus","","Blood-meal preferences and avian malaria detection in mosquitoes (Diptera: Culicidae) captured at different land use types within a neotropical montane cloud forest matrix","Human activities modify environmental conditions, altering ecological interactions that can contribute to the increasing number of vector-borne pathogens affecting both human and wildlife populations. There is a dearth of knowledge about mosquitoes feeding preferences and their role as potential vectors of haemosporidian parasites, particularly in modified habitats. During 2013–2014 we sampled mosquitoes in five different land use types within a cloud forest matrix. From a total of 4107 adult mosquitoes, 90 were engorged. We extracted DNA from mosquito blood-meals, abdomens, and thoraxes, which belonged to seven different species. Seventeen specimens were positive for avian Plasmodium parasites. We were able to identify the blood-meal source of 10 mosquitoes, the identified vertebrate species were: Homo sapiens (Human), Sturnira hondurensis (Bat), and Bos taurus (Cow). Our results show that Culex restuans is positive for avian malaria and it is feeding on both humans and domestic animals at urban and peri-urban habitat types, where it is also an abundant species throughout the year. Furthermore, Aedes quadrivittatus, also positive for avian malaria, is feeding on humans in the well-preserved cloud forest, where this mosquito species is highly abundant. This study is the first in Mexico to provide reference data showing generalist mosquito feeding preferences and presence of avian Plasmodium at locations with different land use types. © 2018 Elsevier B.V.","Abella-Medrano, C.A.; Carbó-Ramírez, P.; Ibáñez-Bernal, S.; Santiago-Alarcon, D.","","67",2018,"","Abella_2018_Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_Diptera-_Culicidae_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix.pdf","Wrong species ","","","","","",""
409830,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Male mate choice based on female coloration in a lizard: The role of a juvenile trait","Female mate choice for male display traits is widely observed across animal taxa and is a well-established mechanism of evolution. However, males are increasingly seen to exhibit mate choice for female display traits, even in species with traditional sex roles, although this continues to be an understudied aspect of sexual selection. We evaluated the role of female coloration on male mate choice decisions in the spiny-footed lizard (Acanthodactylus erythrurus), a species in which adult females show red coloration as a retained juvenile trait. Although both sexes show red tails as juveniles and subadults, only females maintain red colored tails when becoming adult; moreover, this coloration is only present at the beginning of female adulthood and becomes white after ovulation, suggesting a mating-related function. Male courtship preferences were investigated through an experimental approach, where they were offered pairs of females that differed in size (adult/subadult) and tail coloration (red/white). Male lizards preferred adult females using both visual and chemical cues and, when adult female coloration could be chosen, they preferred red females. These results suggest that red coloration is a sexual signal involved in male mate selection. We hypothesize that red coloration in adult females might indicate sexual maturity and a pre-ovulatory reproductive status. Being a juvenile trait retained until the beginning of adulthood, we also suggest that it might indicate reduced risk of sperm competition. This study highlights the role of a juvenile trait for sexual selection and adds to the understanding of the evolution of male mate choice. © The Author(s) 2017.","Belliure, J.; Cuervo, J.J.; Fresnillo, B.","","29",2018,"","","","","","","","",""
409831,"not_duplicate","included","excluded","not_started","database","Scopus","","Mosquito species occurrence in association with landscape composition in green urban areas","Aedes aegypti prefers densely populated habitats, but has been shown to explore less anthropogenic environments. We investigated composition of the abundance of mosquitoes in forested areas and assessed relationships between species occurrences and different types of land use and land cover at three spatial scales (100m, 500m and 1000m). Mosquitoes were collected from October 2012 to March 2013 using oviposition traps. We collected 4,179 mosquitoes in total including at least 10 species. Aedes albopictus and Limatus durhami were eudominant species, representing 90% of all collected individuals. We found intraspecific differences in response to land use and land cover, and species response patterns were similar at all spatial scales. Ae. albopictus relative abundance was associated with urbanized areas, while Li. durhami, Haemagogus leucocelaenus and Toxorhynchites sp., abundances were associated with native forest. Aedes aegypti were found in five of the eight areas studied, including in an Atlantic forest fragment at a considerable distance from the forest edge (370 m). Aedes aegypti occurrence was not influenced by type of land use or land cover. © 2018, Instituto Internacional de Ecologia. All rights reserved.","Jahnke, S.M.; Montagner, F.R.G.; Silva, O.S.","","78",2018,"","Montagner_2018_Mosquito_species_occurrence_in_association_with_landscape_composition_in_green_urban_areas.pdf","No location data ","","","","","",""
409832,"not_duplicate","included","included","finished","database","Scopus","","Distribution of the Mosquito Communities (Diptera: Culicidae) in Oviposition Traps Introduced into the Atlantic Forest in the State of Rio de Janeiro, Brazil","The Atlantic Rainforest of South America is one of the major biodiversity hotspots of the world and serves as a place of residence for a wide variety of Culicidae species. Mosquito studies in the natural environment are of considerable importance because of their role in transmitting pathogens to both humans and other vertebrates. Community diversity can have significant effects on the risk of their disease transmission. The objective of this study was to understand the distribution of mosquito communities using oviposition traps in a region of the Atlantic Forest. Sampling was carried out in Bom Retiro Private Natural Reserve (RPPNBR), located in Casimiro de Abreu, Rio de Janeiro, using oviposition traps, which were set in the forest environment, from October 2015 to December 2016. The canonical correspondence analysis was used to assess the influence of the climatic variables (precipitation, maximum dew point, and direction) throughout the seasons on the population density of the mosquito species. The results showed that population density was directly influenced by climatic variables, which acted as a limiting factor for the mosquito species studied. The climatic variables that were significantly correlated with the density of the mosquito species were precipitation, maximum dew point, and direction. Haemagogus janthinomys was positively correlated with the three climatic variables, whereas Haemagogus leucocelaenus was positively correlated with precipitation and maximum dew point, and negatively correlated with direction. © Shayenne Olsson Freitas Silva et al. 2018.","Alencar, J.; De Aguiar Maia, D.; Ferreira De Mello, C.; Figueiró, R.; Silva, S.O.F.","","18",2018,"","Alencar_2018_Distribution_of_the_Mosquito_Communities_Diptera-_Culicidae_in_Oviposition_Traps_Introduced_into_the_Atlantic_Forest_in_the_State_of_Rio_de_Janeiro_Brazil_.pdf","","22° 27' 14.1'' S , 42° 17' 34.9'' W ; 22° 26' 58.7'' S , 42° 17' 11.6'' W","22° 27' 14.1'' S , 42° 17' 34.9'' W ; 22° 26' 58.7'' S , 42° 17' 11.6'' W ; 22° 27' 19.4'' S , 42° 18' 9.5'' W","N/A","d; /; m; /; s","n; o","y; e; s"
409833,"not_duplicate","included","included","finished","database","Scopus","","Tree hole mosquito species composition and relative abundances differ between urban and adjacent forest habitats in northwestern Argentina","Water-holding tree holes are main larval habitats for many pathogen vectors, especially mosquitoes (Diptera: Culicidae). Along 3 years, the diversity and composition of mosquito species in tree holes of two neighbouring but completely different environments, a city and its adjacent forest, were compared using generalized linear mixed models, PERMANOVA, SIMPER and species association indexes. The city area (Northwest Argentina) is highly relevant epidemiologically due to the presence of Aedes aegypti L. (main dengue vector) and occurrence of dengue outbreaks; the Yungas rainforests are highly biologically diverse. In total seven mosquito species were recorded, in descending order of abundance: Ae. aegypti, Haemagogus spegazzinii Brèthes, Sabethes purpureus (Theobald), Toxorhynchites guadeloupensis Dyar and Knab, Aedes terrens Walker, Haemagogus leucocelaenus Dyar & Shannon and Sabethes petrocchiae (Shannon and Del Ponte). The seven mosquito species were recorded in both city sites and forested areas; however, their mosquito communities significantly diverged because of marked differences in the frequency and relative abundance of some species: Tx. guadeloupensis and Ae. aegypti were significantly more abundant in forest and urban areas, respectively. Positive significant associations were detected between Ae. aegypti, Hg. spegazzinii and Hg. leucocelaenus. The combined presence of Ae. aegypti, Haemagogus and Sabethes in the area also highlight a potential risk of yellow fever epidemics. Overall results show an impoverished tree hole mosquito fauna in urban environments, reflecting negative effects of urbanization on mosquito diversity. © Copyright Cambridge University Press 2017.","Aparicio, J.P.; Gleiser, R.M.; Mangudo, C.; Rossi, G.C.","","108",2018,"","Aparicio_2018_Tree_hole_mosquito_species_composition_and_relative_abundances_differ_between_urban_and_adjacent_forest_habitats_in_northwestern_Argentina.pdf","","N/A","23° 8' S , 64° 20' W","N/A","d; /; m","y; e; s","y; e; s"
409834,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Oropouche fever: A review","Oropouche fever is an emerging zoonotic disease caused by Oropouche virus (OROV), an arthropod transmitted Orthobunyavirus circulating in South and Central America. During the last 60 years, more than 30 epidemics and over half a million clinical cases attributed to OROV infection have been reported in Brazil, Peru, Panama, Trinidad and Tobago. OROV fever is considered the second most frequent arboviral febrile disease in Brazil after dengue fever. OROV is transmitted through both urban and sylvatic transmission cycles, with the primary vector in the urban cycle being the anthropophilic biting midge Culicoides paraensis. Currently, there is no evidence of direct human-to-human OROV transmission. OROV fever is usually either undiagnosed due to its mild, self-limited manifestations or misdiagnosed because its clinical characteristics are similar to dengue, chikungunya, Zika and yellow fever, including malaria as well. At present, there is no specific antiviral treatment, and in the absence of a vaccine for effective prophylaxis of human populations in endemic areas, the disease prevention relies solely on vector control strategies and personal protection measures. OROV fever is considered to have the potential to spread across the American continent and under favorable climatic conditions may expand its geographic distribution to other continents. In view of OROV’s emergence, increased interest for formerly neglected tropical diseases and within the One Health concept, the existing knowledge and gaps of knowledge on OROV fever are reviewed. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","Bozidis, P.; Franks, A.; Papadopoulou, C.; Sakkas, H.","","10",2018,"","","","","","","","",""
409835,"not_duplicate","included","excluded","not_started","database","Scopus","","New records of mosquitoes (Diptera: Culicidae) found in phytotelmata in Northern Argentina","The geographical distributions of Culex (Carrollia) secundus, Cx. (Microculex) davisi, Cx. (Phytotelmatomyia) castroi, Cx. (Phy.) renatoi, Lutzia (Lutzia) allostigma, Sabethes (Peytonulus) undosus, Sa. (Sabethoides) glaucodaemon, Toxo-rhynchites (Lynchiella) bambusicola, Tx. (Lyn.) theobaldi, Wyeomyia (Dodecamyia) aphobema, Wy. (Miamyia) codiocam-pa and Wy. serratoria (subgenus uncertain) are extended, including new records for four provinces in Argentina and four new records for the country, increasing the number of species known to occur in Argentina from 242 to 246. © 2018 Magnolia Press.","Alonso, A.C.; Alvarez, C.N.; Bangher, D.N.; Campos, R.E.; Stein, M.; Willener, J.A.","","4399",2018,"","Alonso_2018_New_records_of_mosquitoes_Diptera-_Culicidae_found_in_phytotelmata_in_Northern_Argentina.pdf","Wrong species ","","","","","",""
409836,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","The seasonal influence of climate and environment on yellow fever transmission across Africa","Background: Yellow fever virus (YFV) is a vector-borne flavivirus endemic to Africa and Latin America. Ninety per cent of the global burden occurs in Africa where it is primarily transmitted by Aedes spp, with Aedes aegypti the main vector for urban yellow fever (YF). Mosquito life cycle and viral replication in the mosquito are heavily dependent on climate, particularly temperature and rainfall. We aimed to assess whether seasonal variations in climatic factors are associated with the seasonality of YF reports. Methodology/Principal findings: We constructed a temperature suitability index for YFV transmission, capturing the temperature dependence of mosquito behaviour and viral replication within the mosquito. We then fitted a series of multilevel logistic regression models to a dataset of YF reports across Africa, considering location and seasonality of occurrence for seasonal models, against the temperature suitability index, rainfall and the Enhanced Vegetation Index (EVI) as covariates alongside further demographic indicators. Model fit was assessed by the Area Under the Curve (AUC), and models were ranked by Akaike’s Information Criterion which was used to weight model outputs to create combined model predictions. The seasonal model accurately captured both the geographic and temporal heterogeneities in YF transmission (AUC = 0.81), and did not perform significantly worse than the annual model which only captured the geographic distribution. The interaction between temperature suitability and rainfall accounted for much of the occurrence of YF, which offers a statistical explanation for the spatio-temporal variability in transmission. Conclusions/Significance: The description of seasonality offers an explanation for heterogeneities in the West-East YF burden across Africa. Annual climatic variables may indicate a transmission suitability not always reflected in seasonal interactions. This finding, in conjunction with forecasted data, could highlight areas of increased transmission and provide insights into the occurrence of large outbreaks, such as those seen in Angola, the Democratic Republic of the Congo and Brazil. © 2018 Hamlet et al.","Biey, J.; Ferguson, N.; Garske, T.; Hamlet, A.; Jean, K.; Perea, W.; Van Kerkhove, M.; Yactayo, S.","","12",2018,"","","","","","","","",""
409837,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Mating behavior of the West Nile virus vector Culex pipiens – role of behavioral asymmetries","Culex pipiens is a vector of West Nile, Rift Valley fever, Japanese encephalitis and Usutu viruses. In agreement with the criteria of Integrated Vector Management, several research efforts have been devoted to develop behavior-based control tools to fight mosquito vectors. However, our knowledge of mosquito mating biology and sexual communication is still patchy. Despite the high relevance of C. pipiens as a vector of medical and veterinary importance, no studies on its mating behavior and the factors routing mating success have been conducted. In this study, I quantified the mating behavior of an Italian strain of C. pipiens, evaluating the male mating success and its potential connections with population-level lateralized traits occurring during the mating sequence. Mean copula duration exceeded 100 s. Courting males can be straightly accepted by the female after the first genital contact (38.95%), as well as after some rejection kicks performed by females with hind legs (17.89%). No copula duration differences were detected between these two cases. The overall male mating success in laboratory conditions was 56.84%. The females performing rejection kicks preferentially used right hind legs at population-level. This was confirmed over four subsequent testing phases. The number of kicks per rejection event and the rejection success were higher when right legs are used over left ones, showing a functional advantage linked with the employ of right legs. Overall, the present study represents the first quantification of the courtship and mating behavior of C. pipiens. Data on male mating success and the role population-level lateralized mating traits provides basic biological knowledge that can be helpful to optimize autocidal and behavior-based control tools. © 2017 Elsevier B.V.","Benelli, G.","","179",2018,"","","","","","","","",""
409838,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Nomenclatural studies toward a World List of Diptera genus-group names. Part VI: Daniel William Coquillett","The Diptera genus-group names of Daniel William Coquillett are reviewed and annotated. A total of 136 available genus-group names in 53 families of Diptera are listed alphabetically, and for each name giving author, year and page of original publication, originally included species, type species and method of fixation, current status of the name, family placement, and a list of any emendations of it that have been found in the literature. Remarks are given to clarify nomenclatural or taxonomic information. In addition, an index to all the species-group names of Diptera proposed by Coquillett (1,218, of which 1,214 are available names) is given with bibliographic reference (year and page) to each original citation. Appended to this study is a full bibliography of Coquillett's published works. Name found to be unavailable: Philhelius Coquillett, 1910. Name found not to be preoccupied: Petia Coquillett, 1910 [Tachinidae]. Corrections to and clarifications of type species designations are made for the following: Isostomyia Coquillett, 1906 [Culicidae]; Micraedes Coquillett, 1906 [Culicidae]; Roederiodes Coquillett, 1901 [Empididae]; Stilbometopa Coquillett, 1899 [Hippoboscidae]; Tinolestes Coquillett, 1906 [Culicidae]. Previous First Reviser actions for multiple original spellings missed by previous workers include: Ateloglossa Coquillett, 1899 [Tachinidae]; Boreodromia Coquillett, 1903 [Brachystomatidae]; Mythicomyia Coquillett, 1893 [Mythicomyiidae]. The following are new synonymies of their respective senior synonyms: Acemyia Coquillett, 1897b under Acemya Robineau-Desvoidy, 1830, n. syn. [Tachinidae]; Clytiomyia Coquillett, 1897b under Clytiomya Rondani, 1861, n. syn. [Tachinidae]; Linnaemyia Coquillett, 1897b under Linnaemya Robineau-Desvoidy, 1830, n. syn. [Tachinidae]; Xanthogramma Schiner, 1860 under Philhelius Stephens, 1841, n. syn. [Syrphidae]. Using Reversal of Precedence (ICZN Code Art. 23.9), Scriptotricha Cockerell, 1889 [Tephritidae] is declared a nomen oblitum and Paracantha Coquillett, 1899f [Tephritidae] is declared a nomen protectum. © Copyright 2018 Magnolia Press.","Evenhuis, N.L.","","4381",2018,"","","","","","","","",""
